attempted_n,completed_n,condition_id,exact_match_n,experiment_id,format_failure_n,mismatch_n,new_answer_bearing_accuracy,new_answer_bearing_correct_n,new_answer_bearing_scored_n,new_exact_accuracy,new_exact_correct_n,new_exact_scored_n,new_format_scored_n,new_format_valid_n,new_format_validity,new_scorer,old_accuracy,old_correct_n,old_scored_n,old_scorer,quantization_type,runtime_failure_n,score_changed_n,target_context_tokens,task_id,task_type,variant_condition_id,variant_label
5,5,q4_k_m:ctx32768,0,exp_002,5,0,1.0,5,5,0.0,0,5,5,0,0.0,calibrated.v1,0.0,0,5,expected.v1,Q4_K_M,0,0,32768,task.literal.000001,literal_retrieval,q4_k_m,Q4_K_M
5,5,q4_k_m:ctx8192,0,exp_002,5,0,1.0,5,5,0.0,0,5,5,0,0.0,calibrated.v1,0.0,0,5,expected.v1,Q4_K_M,0,0,8192,task.literal.000001,literal_retrieval,q4_k_m,Q4_K_M
5,5,q5_k_m:ctx32768,0,exp_002,5,0,1.0,5,5,0.0,0,5,5,0,0.0,calibrated.v1,0.0,0,5,expected.v1,Q5_K_M,0,0,32768,task.literal.000001,literal_retrieval,q5_k_m,Q5_K_M
5,5,q5_k_m:ctx8192,0,exp_002,5,0,1.0,5,5,0.0,0,5,5,0,0.0,calibrated.v1,0.0,0,5,expected.v1,Q5_K_M,0,0,8192,task.literal.000001,literal_retrieval,q5_k_m,Q5_K_M
5,5,q6_k:ctx32768,0,exp_002,5,0,1.0,5,5,0.0,0,5,5,0,0.0,calibrated.v1,0.0,0,5,expected.v1,Q6_K,0,0,32768,task.literal.000001,literal_retrieval,q6_k,Q6_K
5,5,q6_k:ctx8192,0,exp_002,5,0,1.0,5,5,0.0,0,5,5,0,0.0,calibrated.v1,0.0,0,5,expected.v1,Q6_K,0,0,8192,task.literal.000001,literal_retrieval,q6_k,Q6_K
5,5,q8_0:ctx32768,0,exp_002,5,0,1.0,5,5,0.0,0,5,5,0,0.0,calibrated.v1,0.0,0,5,expected.v1,Q8_0,0,0,32768,task.literal.000001,literal_retrieval,q8_0,Q8_0
5,5,q8_0:ctx8192,0,exp_002,5,0,1.0,5,5,0.0,0,5,5,0,0.0,calibrated.v1,0.0,0,5,expected.v1,Q8_0,0,0,8192,task.literal.000001,literal_retrieval,q8_0,Q8_0
5,5,q4_k_m:ctx32768,5,exp_002,0,0,1.0,5,5,1.0,5,5,5,5,1.0,calibrated.v1,1.0,5,5,expected.v1,Q4_K_M,0,0,32768,task.multihop.000001,multi_hop,q4_k_m,Q4_K_M
5,5,q4_k_m:ctx8192,5,exp_002,0,0,1.0,5,5,1.0,5,5,5,5,1.0,calibrated.v1,1.0,5,5,expected.v1,Q4_K_M,0,0,8192,task.multihop.000001,multi_hop,q4_k_m,Q4_K_M
5,5,q5_k_m:ctx32768,5,exp_002,0,0,1.0,5,5,1.0,5,5,5,5,1.0,calibrated.v1,1.0,5,5,expected.v1,Q5_K_M,0,0,32768,task.multihop.000001,multi_hop,q5_k_m,Q5_K_M
5,5,q5_k_m:ctx8192,5,exp_002,0,0,1.0,5,5,1.0,5,5,5,5,1.0,calibrated.v1,1.0,5,5,expected.v1,Q5_K_M,0,0,8192,task.multihop.000001,multi_hop,q5_k_m,Q5_K_M
5,5,q6_k:ctx32768,5,exp_002,0,0,1.0,5,5,1.0,5,5,5,5,1.0,calibrated.v1,1.0,5,5,expected.v1,Q6_K,0,0,32768,task.multihop.000001,multi_hop,q6_k,Q6_K
5,5,q6_k:ctx8192,5,exp_002,0,0,1.0,5,5,1.0,5,5,5,5,1.0,calibrated.v1,1.0,5,5,expected.v1,Q6_K,0,0,8192,task.multihop.000001,multi_hop,q6_k,Q6_K
5,5,q8_0:ctx32768,5,exp_002,0,0,1.0,5,5,1.0,5,5,5,5,1.0,calibrated.v1,1.0,5,5,expected.v1,Q8_0,0,0,32768,task.multihop.000001,multi_hop,q8_0,Q8_0
5,5,q8_0:ctx8192,5,exp_002,0,0,1.0,5,5,1.0,5,5,5,5,1.0,calibrated.v1,1.0,5,5,expected.v1,Q8_0,0,0,8192,task.multihop.000001,multi_hop,q8_0,Q8_0
5,5,q4_k_m:ctx32768,0,exp_002,0,5,1.0,5,5,0.0,0,5,5,5,1.0,calibrated.v1,0.0,0,5,expected.v1,Q4_K_M,0,0,32768,task.semantic.000001,semantic_retrieval,q4_k_m,Q4_K_M
5,5,q4_k_m:ctx8192,0,exp_002,0,5,1.0,5,5,0.0,0,5,5,5,1.0,calibrated.v1,0.0,0,5,expected.v1,Q4_K_M,0,0,8192,task.semantic.000001,semantic_retrieval,q4_k_m,Q4_K_M
5,5,q5_k_m:ctx32768,0,exp_002,0,5,1.0,5,5,0.0,0,5,5,5,1.0,calibrated.v1,0.0,0,5,expected.v1,Q5_K_M,0,0,32768,task.semantic.000001,semantic_retrieval,q5_k_m,Q5_K_M
5,5,q5_k_m:ctx8192,0,exp_002,0,5,1.0,5,5,0.0,0,5,5,5,1.0,calibrated.v1,0.0,0,5,expected.v1,Q5_K_M,0,0,8192,task.semantic.000001,semantic_retrieval,q5_k_m,Q5_K_M
5,5,q6_k:ctx32768,0,exp_002,0,5,1.0,5,5,0.0,0,5,5,5,1.0,calibrated.v1,0.0,0,5,expected.v1,Q6_K,0,0,32768,task.semantic.000001,semantic_retrieval,q6_k,Q6_K
5,5,q6_k:ctx8192,0,exp_002,0,5,1.0,5,5,0.0,0,5,5,5,1.0,calibrated.v1,0.0,0,5,expected.v1,Q6_K,0,0,8192,task.semantic.000001,semantic_retrieval,q6_k,Q6_K
5,5,q8_0:ctx32768,0,exp_002,0,5,1.0,5,5,0.0,0,5,5,5,1.0,calibrated.v1,0.0,0,5,expected.v1,Q8_0,0,0,32768,task.semantic.000001,semantic_retrieval,q8_0,Q8_0
5,5,q8_0:ctx8192,0,exp_002,0,5,1.0,5,5,0.0,0,5,5,5,1.0,calibrated.v1,0.0,0,5,expected.v1,Q8_0,0,0,8192,task.semantic.000001,semantic_retrieval,q8_0,Q8_0
